0.81 	0.84 	0.94 	1
0.99 	0.87 	2.15 	1
0.79 	1.02 	3.13 	1
1.10 	1.21 	3.94 	1
1.15 	1.08 	5.12 	1
1.24 	0.76 	5.84 	1
1.09 	1.06 	7.17 	1
0.83 	0.98 	7.92 	1
1.18 	0.98 	9.25 	1
0.80 	1.19 	10.19 	1
1.14 	1.94 	1.13 	1
1.24 	2.17 	2.14 	1
0.80 	2.01 	3.13 	1
0.90 	2.10 	3.82 	1
1.11 	2.13 	5.07 	1
0.75 	1.94 	5.93 	1
1.15 	1.76 	7.16 	1
0.91 	2.25 	8.01 	1
0.87 	2.19 	8.91 	1
0.96 	1.78 	10.25 	1
0.83 	3.05 	1.04 	1
1.13 	2.90 	2.11 	1
0.86 	3.17 	3.14 	1
1.16 	2.85 	4.06 	1
0.97 	2.99 	5.09 	1
0.81 	2.99 	6.06 	1
1.06 	2.89 	6.81 	1
0.97 	2.75 	7.77 	1
1.20 	3.10 	9.16 	1
0.76 	2.83 	10.03 	1
1.05 	4.00 	1.02 	1
1.18 	3.84 	2.25 	1
1.02 	3.89 	2.87 	1
0.87 	4.23 	3.83 	1
1.22 	4.14 	4.78 	1
0.86 	4.13 	5.97 	1
1.21 	3.95 	6.79 	1
0.80 	3.97 	8.19 	1
0.88 	4.23 	9.08 	1
1.05 	4.24 	10.16 	1
1.07 	4.84 	1.13 	1
0.93 	4.77 	2.24 	1
0.87 	4.97 	3.13 	1
1.08 	4.81 	4.09 	1
1.10 	4.86 	5.05 	1
1.07 	4.76 	5.95 	1
0.88 	5.00 	7.19 	1
0.77 	5.12 	7.87 	1
1.09 	5.05 	9.02 	1
1.19 	4.85 	10.15 	1
0.90 	6.11 	1.05 	1
0.84 	6.14 	1.96 	1
1.07 	5.87 	3.22 	1
0.87 	6.23 	3.97 	1
0.97 	6.24 	5.07 	1
1.15 	6.22 	6.14 	1
1.07 	6.19 	7.05 	1
0.92 	6.23 	8.12 	1
1.20 	6.18 	8.94 	1
1.20 	6.17 	10.02 	1
0.93 	6.81 	0.95 	1
1.07 	6.92 	2.03 	1
1.15 	7.19 	3.07 	1
1.00 	7.03 	3.97 	1
1.14 	6.86 	4.94 	1
0.80 	7.03 	5.93 	1
1.04 	6.83 	7.15 	1
0.85 	7.07 	8.16 	1
0.84 	7.15 	9.21 	1
1.19 	7.03 	10.16 	1
0.88 	8.12 	0.90 	1
1.25 	8.04 	2.24 	1
1.03 	7.99 	3.03 	1
0.95 	8.05 	4.16 	1
0.97 	7.93 	5.18 	1
1.21 	8.22 	6.22 	1
0.80 	8.24 	6.92 	1
0.95 	8.24 	7.96 	1
0.83 	8.09 	8.84 	1
